Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9VSD7	DBR1_DROME	reviewed	Lariat debranching enzyme (DmDBR1) (EC 3.1.-.-)	ldbr DBR1 CG7942	Drosophila melanogaster (Fruit fly)	534
Q9VAT2	DCA10_DROME	reviewed	DDB1- and CUL4-associated factor 10 homolog (WD repeat-containing protein 32 homolog)	CG1523	Drosophila melanogaster (Fruit fly)	621
Q9W2F2	DCAF1_DROME	reviewed	Protein mahjong (DDB1- and CUL4-associated factor-like 1) (VPRBP-like protein)	mahj CG10080	Drosophila melanogaster (Fruit fly)	1544
P91931	DCAM_DROME	reviewed	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]	SamDC CG5029	Drosophila melanogaster (Fruit fly)	347
P20228	DCE_DROME	reviewed	Glutamate decarboxylase (GAD) (EC 4.1.1.15)	Gad1 Gad Glb CG14994	Drosophila melanogaster (Fruit fly)	510
Q05733	DCHS_DROME	reviewed	Histidine decarboxylase (HDC) (EC 4.1.1.22)	Hdc CG3454	Drosophila melanogaster (Fruit fly)	847
Q7PLI7	DCLK_DROME	reviewed	Serine/threonine-protein kinase CG17528 (EC 2.7.11.1) (Doublecortin-like and CAM kinase-like protein) (Protein Pk1)	CG17528	Drosophila melanogaster (Fruit fly)	748
Q9VUQ8	DCN1L_DROME	reviewed	DCN1-like protein (Defective in cullin neddylation protein 1-like protein)	CG7427	Drosophila melanogaster (Fruit fly)	288
P40808	DCOR2_DROME	reviewed	Ornithine decarboxylase 2 (ODC) (EC 4.1.1.17) (dODC2)	Odc2 CG8719	Drosophila melanogaster (Fruit fly)	393
P40807	DCOR1_DROME	reviewed	Ornithine decarboxylase 1 (ODC) (EC 4.1.1.17)	Odc1 CG8721	Drosophila melanogaster (Fruit fly)	394
O76324	DCO_DROME	reviewed	Discs overgrown protein kinase (EC 2.7.11.1) (Protein double-time)	dco dbt CG2048	Drosophila melanogaster (Fruit fly)	440
Q9VCU9	DCR1_DROME	reviewed	Endoribonuclease Dcr-1 (Protein dicer-1) (EC 3.1.26.-)	Dcr-1 CG4792	Drosophila melanogaster (Fruit fly)	2249
Q9VWA2	DCTD_DROME	reviewed	Probable deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)	CG6951	Drosophila melanogaster (Fruit fly)	203
P13496	DCTN1_DROME	reviewed	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (Protein glued)	Gl CG9206	Drosophila melanogaster (Fruit fly)	1265
Q7K2D2	DCTN2_DROME	reviewed	Probable dynactin subunit 2 (Dynamitin)	Dmn CG8269	Drosophila melanogaster (Fruit fly)	380
Q9V595	DCUP_DROME	reviewed	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	Updo CG1818	Drosophila melanogaster (Fruit fly)	356
Q9XYZ5	DDB1_DROME	reviewed	DNA damage-binding protein 1 (D-DDB1) (Damage-specific DNA-binding protein 1) (Protein piccolo)	pic DDB1 CG7769	Drosophila melanogaster (Fruit fly)	1140
P05031	DDC_DROME	reviewed	Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC)	Ddc CG10697	Drosophila melanogaster (Fruit fly)	510
Q9VDD1	DDRGK_DROME	reviewed	DDRGK domain-containing protein 1	CG5862	Drosophila melanogaster (Fruit fly)	309
P19109	DDX17_DROME	reviewed	ATP-dependent RNA helicase p62 (EC 3.6.4.13)	Rm62 Dmp68 p62 CG10279	Drosophila melanogaster (Fruit fly)	719
Q9VD51	DDX18_DROME	reviewed	Probable ATP-dependent RNA helicase pitchoune (EC 3.6.4.13)	pit CG6375	Drosophila melanogaster (Fruit fly)	680
O61305	DDX19_DROME	reviewed	DEAD-box helicase Dbp80 (EC 3.6.4.13)	Dbp80 Hel40 HEL80 CG17023	Drosophila melanogaster (Fruit fly)	460
Q9VNV3	DDX1_DROME	reviewed	ATP-dependent RNA helicase Ddx1 (DEAD box protein 1) (EC 3.6.4.13)	Ddx1 CG9054	Drosophila melanogaster (Fruit fly)	727
Q9V3C0	DDX41_DROME	reviewed	ATP-dependent RNA helicase abstrakt (DEAD box protein abstrakt) (EC 3.6.4.13)	abs CG14637	Drosophila melanogaster (Fruit fly)	619
Q9VHP0	DDX3_DROME	reviewed	ATP-dependent RNA helicase bel (EC 3.6.4.13) (Protein belle)	bel CG9748	Drosophila melanogaster (Fruit fly)	798
Q07886	DDX49_DROME	reviewed	Probable ATP-dependent RNA helicase Dbp45A (DEAD box protein 45A) (EC 3.6.4.13)	Dbp45A CG12759	Drosophila melanogaster (Fruit fly)	521
P26802	DDX51_DROME	reviewed	Probable ATP-dependent RNA helicase Dbp73D (DEAD box protein 73D) (EC 3.6.4.13)	Dbp73D CG9680	Drosophila melanogaster (Fruit fly)	687
Q9VHU1	DDX55_DROME	reviewed	Probable ATP-dependent RNA helicase DDX55 homolog (DEAD box protein 55) (EC 3.6.4.13)	CG9630	Drosophila melanogaster (Fruit fly)	613
P23128	DDX6_DROME	reviewed	Putative ATP-dependent RNA helicase me31b (EC 3.6.4.13) (Maternal expression at 31B)	me31B CG4916	Drosophila melanogaster (Fruit fly)	459
Q24180	DEAF1_DROME	reviewed	Deformed epidermal autoregulatory factor 1 (Protein DEAF-1)	Deaf1 CG8567	Drosophila melanogaster (Fruit fly)	576
P18169	DEC11_DROME	reviewed	Defective chorion-1 protein, FC125 isoform	dec-1 CG2175	Drosophila melanogaster (Fruit fly)	1208
P18170	DEC12_DROME	reviewed	Defective chorion-1 protein, FC106 isoform [Cleaved into: Defective chorion-1 protein, FC106 isoform; FC106 S80; FC106 S60]	dec-1 CG2175	Drosophila melanogaster (Fruit fly)	950
P18171	DEC13_DROME	reviewed	Defective chorion-1 protein, FC177 isoform	dec-1 CG2175	Drosophila melanogaster (Fruit fly)	1590
P07713	DECA_DROME	reviewed	Protein decapentaplegic (Protein DPP-C)	dpp CG9885	Drosophila melanogaster (Fruit fly)	588
Q9VTT9	DEFI8_DROME	reviewed	Differentially expressed in FDCP 8 homolog	CG11534	Drosophila melanogaster (Fruit fly)	492
P36192	DEFI_DROME	reviewed	Defensin	Def CG1385	Drosophila melanogaster (Fruit fly)	92
P41894	DEI_DROME	reviewed	Helix-loop-helix protein delilah (Protein taxi)	tx dei CG5441	Drosophila melanogaster (Fruit fly)	384
P81160	DEJP_DROME	reviewed	Ductus ejaculatorius peptide 99B	Dup99B CG33495	Drosophila melanogaster (Fruit fly)	54
Q9VIF5	DEL_DROME	reviewed	Protein deadlock	del CG9252	Drosophila melanogaster (Fruit fly)	981
Q9VX98	DENR_DROME	reviewed	Density-regulated protein homolog	DENR CG9099	Drosophila melanogaster (Fruit fly)	189
Q9VQ57	DERL1_DROME	reviewed	Derlin-1 (DER1-like protein 1)	Der-1 CG10908	Drosophila melanogaster (Fruit fly)	245
P07548	DFD_DROME	reviewed	Homeotic protein deformed	Dfd CG2189	Drosophila melanogaster (Fruit fly)	586
Q9V3Y3	DFP_DROME	reviewed	Defense protein l(2)34Fc	l(2)34Fc CG7532	Drosophila melanogaster (Fruit fly)	159
O44424	DGC14_DROME	reviewed	Protein DGCR14 homolog (Protein Es2) (dEs2)	Es2 CG1474	Drosophila melanogaster (Fruit fly)	501
Q01583	DGK1_DROME	reviewed	Diacylglycerol kinase 1 (DAG kinase 1) (DGK 1) (Diglyceride kinase 1) (EC 2.7.1.107)	Dgk DGK1 CG34361	Drosophila melanogaster (Fruit fly)	1211
Q09103	DGK2_DROME	reviewed	Eye-specific diacylglycerol kinase (DAG kinase 2) (DGK 2) (Diglyceride kinase 2) (EC 2.7.1.107) (Retinal degeneration A protein)	rdgA DGK2 CG34344	Drosophila melanogaster (Fruit fly)	1457
A8JQ65	DGKH_DROME	reviewed	Diacylglycerol kinase eta (DAG kinase eta) (EC 2.7.1.107)	CG34384	Drosophila melanogaster (Fruit fly)	1895
Q9VXJ0	DHB4_DROME	reviewed	Peroxisomal multifunctional enzyme type 2 (DmMFE-2) [Includes: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.119)]	Mfe2 CG3415	Drosophila melanogaster (Fruit fly)	598
P54385	DHE3_DROME	reviewed	Glutamate dehydrogenase, mitochondrial (GDH) (EC 1.4.1.3)	Gdh Glud CG5320	Drosophila melanogaster (Fruit fly)	562
P18173	DHGL_DROME	reviewed	Glucose dehydrogenase [FAD, quinone] (EC 1.1.5.9) [Cleaved into: Glucose dehydrogenase [FAD, quinone] short protein]	Gld CG1152	Drosophila melanogaster (Fruit fly)	625
Q9Y140	DHRS7_DROME	reviewed	Dehydrogenase/reductase SDR family protein 7-like (EC 1.1.-.-)	CG7601	Drosophila melanogaster (Fruit fly)	326
Q9VCI5	DHSD_DROME	reviewed	Putative succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (Succinate-ubiquinone reductase membrane anchor subunit)	CG10219	Drosophila melanogaster (Fruit fly)	182
Q9VA02	DHTK1_DROME	reviewed	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial (EC 1.2.4.2)	CG1544	Drosophila melanogaster (Fruit fly)	919
Q9VSF4	DHYS_DROME	reviewed	Probable deoxyhypusine synthase (DHS) (EC 2.5.1.46)	CG8005	Drosophila melanogaster (Fruit fly)	368
Q24306	DIAP1_DROME	reviewed	Death-associated inhibitor of apoptosis 1 (EC 6.3.2.-) (Apoptosis 1 inhibitor) (E3 ubiquitin-protein ligase th) (Inhibitor of apoptosis 1) (Protein thread)	Diap1 Iap1 th CG12284	Drosophila melanogaster (Fruit fly)	438
Q24307	DIAP2_DROME	reviewed	Death-associated inhibitor of apoptosis 2 (EC 6.3.2.-) (Apoptosis 2 inhibitor) (IAP homolog A) (IAP-like protein) (ILP) (dILP) (Inhibitor of apoptosis 2)	Diap2 DIHA Iap2 Ilp CG8293	Drosophila melanogaster (Fruit fly)	498
P48608	DIA_DROME	reviewed	Protein diaphanous	dia CG1768	Drosophila melanogaster (Fruit fly)	1091
Q24533	DICH_DROME	reviewed	SOX domain-containing protein dichaete (Protein fish-hook)	D fish Sox70D CG5893	Drosophila melanogaster (Fruit fly)	382
P98149	DIF_DROME	reviewed	Dorsal-related immunity factor Dif	Dif CG6794	Drosophila melanogaster (Fruit fly)	667
Q9VAQ5	DIM1_DROME	reviewed	Probable dimethyladenosine transferase (EC 2.1.1.183) (Probable 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase) (Probable 18S rRNA dimethylase) (Probable S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase)	CG11837	Drosophila melanogaster (Fruit fly)	306
B6VQA1	DIMM_DROME	reviewed	Protein dimmed	dimm CG8667	Drosophila melanogaster (Fruit fly)	390
Q9W0S9	DIP2_DROME	reviewed	Disco-interacting protein 2	DIP2 CG7020	Drosophila melanogaster (Fruit fly)	1773
P24492	DIP_DROME	reviewed	Diptericin	Dpt Dipt CG12763	Drosophila melanogaster (Fruit fly)	106
P23792	DISC_DROME	reviewed	Protein disconnected	disco CG9908	Drosophila melanogaster (Fruit fly)	568
Q9VNJ5	DISP_DROME	reviewed	Protein dispatched	disp CG2019	Drosophila melanogaster (Fruit fly)	1218
Q9VLK4	DIUX_DROME	reviewed	Diuretic hormone class 2 (Diuretic peptide) (DH(31)) (DP)	Dh31 CG13094	Drosophila melanogaster (Fruit fly)	116
Q9VXT2	DJC25_DROME	reviewed	DnaJ homolog subfamily C member 25 homolog	CG7872	Drosophila melanogaster (Fruit fly)	333
O01352	DJ_DROME	reviewed	Sperm-specific protein Don juan	dj CG1980	Drosophila melanogaster (Fruit fly)	248
O44081	DKC1_DROME	reviewed	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Nucleolar protein AT band 60B) (Protein minifly)	Nop60B mfl CG3333	Drosophila melanogaster (Fruit fly)	508
P31007	DLG1_DROME	reviewed	Disks large 1 tumor suppressor protein	dlg1 l(1)dlg1 CG1725	Drosophila melanogaster (Fruit fly)	970
P20009	DLL_DROME	reviewed	Homeotic protein distal-less (Protein brista)	Dll Ba BR CG3629	Drosophila melanogaster (Fruit fly)	327
Q8T626	DLT_DROME	reviewed	Protein disks lost (Codanin 1 homolog) (Protein vanaso)	dlt VA CG32315	Drosophila melanogaster (Fruit fly)	1240
Q9W3L5	DM7A_DROME	reviewed	DM7 family protein CG15333	CG15333	Drosophila melanogaster (Fruit fly)	542
Q9W3M2	DM7B_DROME	reviewed	DM7 family protein CG15332	CG15332	Drosophila melanogaster (Fruit fly)	571
M9NEY8	DMAD_DROME	reviewed	DNA N6-methyl adenine demethylase (EC 1.14.11.-) (DNA 6mA demethylase)	Tet DMAD CG2083 CG43444 CG9973	Drosophila melanogaster (Fruit fly)	2860
P10041	DL_DROME	reviewed	Neurogenic locus protein delta	Dl CG3619	Drosophila melanogaster (Fruit fly)	833
Q9VDW6	DMDA_DROME	reviewed	Dystrophin, isoforms A/C/F/G/H (DmDYS) (Protein detached)	Dys det CG34157	Drosophila melanogaster (Fruit fly)	3598
Q7YU29	DMDE_DROME	reviewed	Dystrophin, isoform E (Protein detached)	Dys det CG34157	Drosophila melanogaster (Fruit fly)	1051
Q0KI50	DMDD_DROME	reviewed	Dystrophin, isoform D (Protein detached)	Dys det CG34157	Drosophila melanogaster (Fruit fly)	1854
Q9VDW3	DMDB_DROME	reviewed	Dystrophin, isoform B (Protein detached)	Dys det CG34157	Drosophila melanogaster (Fruit fly)	1669
P41964	DMYC_DROME	reviewed	Drosomycin (Cysteine-rich peptide)	Drs CRP CG10810	Drosophila melanogaster (Fruit fly)	70
Q24133	DNAJ1_DROME	reviewed	DnaJ protein homolog 1 (DROJ1)	DnaJ-1 DROJ1 CG10578	Drosophila melanogaster (Fruit fly)	334
Q94521	DNAT_DROME	reviewed	Dopamine N-acetyltransferase (EC 2.3.1.87) (Arylalkylamine N-acetyltransferase) (aaNAT1)	Dat NAT1 CG3318	Drosophila melanogaster (Fruit fly)	275
P92029	DNJ60_DROME	reviewed	DnaJ-like protein 60	DnaJ-60 DmJ60 DnaJ60 CG12240	Drosophila melanogaster (Fruit fly)	217
Q03751	DNJC5_DROME	reviewed	DnaJ homolog subfamily C member 5 homolog (Cysteine string protein)	Csp CG6395	Drosophila melanogaster (Fruit fly)	249
Q9XZT6	DNK_DROME	reviewed	Deoxynucleoside kinase (EC 2.7.1.145) (Deoxyribonucleoside kinase) (Dm-dNK) (Multispecific deoxynucleoside kinase)	dnk CG5452	Drosophila melanogaster (Fruit fly)	250
Q9W1H4	DNLI1_DROME	reviewed	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (DmDNA Lig I)	DNA-ligI CG5602	Drosophila melanogaster (Fruit fly)	747
P49762	DOA_DROME	reviewed	Serine/threonine-protein kinase Doa (EC 2.7.12.1) (Protein darkener of apricot)	Doa CG42320	Drosophila melanogaster (Fruit fly)	832
P54353	DOD_DROME	reviewed	Putative peptidyl-prolyl cis-trans isomerase dodo (PPIase dodo) (EC 5.2.1.8) (Rotamase dodo)	dod CG17051	Drosophila melanogaster (Fruit fly)	166
Q9V9U4	DOHH_DROME	reviewed	Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase)	nero l(3)s1921 CG2245	Drosophila melanogaster (Fruit fly)	302
Q9NDJ2	DOM_DROME	reviewed	Helicase domino (EC 3.6.4.-)	dom CG9696	Drosophila melanogaster (Fruit fly)	3198
Q9VNA8	DONS_DROME	reviewed	Protein downstream neighbor of son homolog (Protein humpty dumpty)	hd CG2669	Drosophila melanogaster (Fruit fly)	568
A1ZBE8	DOP1_DROME	reviewed	Protein dopey-1 homolog	CG15099	Drosophila melanogaster (Fruit fly)	2599
Q9VWE0	DOME_DROME	reviewed	Cytokine receptor (Protein domeless)	dome CG14226	Drosophila melanogaster (Fruit fly)	1282
P41596	DOPR1_DROME	reviewed	Dopamine receptor 1 (D-DOP1) (DmDop1) (dDA1) (Dopamine 1-like receptor 1)	Dop1R1 DopR DopR1 DopR35EF CG9652	Drosophila melanogaster (Fruit fly)	511
Q24563	DOPR2_DROME	reviewed	Dopamine receptor 2 (Dopamine 1-like receptor 2)	Dop1R2 DAMB DopR2 DopR99B CG18741	Drosophila melanogaster (Fruit fly)	539
P15330	DORS_DROME	reviewed	Embryonic polarity protein dorsal	dl CG6667	Drosophila melanogaster (Fruit fly)	999
Q8INR6	DOT1L_DROME	reviewed	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.43) (DOT1-like protein) (dDOT1L) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Protein grappa)	gpp CG10272	Drosophila melanogaster (Fruit fly)	1848
Q9VZZ9	DOS_DROME	reviewed	Protein daughter of sevenless	dos CG1044	Drosophila melanogaster (Fruit fly)	878
Q9VGQ9	DPH3_DROME	reviewed	DPH3 homolog	CG14701	Drosophila melanogaster (Fruit fly)	86
Q9VIU7	DPM1_DROME	reviewed	Probable dolichol-phosphate mannosyltransferase (DPM synthase) (Dolichol-phosphate mannose synthase) (EC 2.4.1.83) (Dolichyl-phosphate beta-D-mannosyltransferase) (Mannose-P-dolichol synthase) (MPD synthase)	CG10166	Drosophila melanogaster (Fruit fly)	241
Q26263	DPN_DROME	reviewed	Protein deadpan	dpn CG8704	Drosophila melanogaster (Fruit fly)	435
Q9VB62	DPOA2_DROME	reviewed	DNA polymerase alpha subunit B (DNA polymerase alpha 73 kDa subunit)	DNApol-alpha73 CG5923	Drosophila melanogaster (Fruit fly)	609
P54358	DPOD1_DROME	reviewed	DNA polymerase delta catalytic subunit (EC 2.7.7.7)	DNApol-delta POLD CG5949	Drosophila melanogaster (Fruit fly)	1092
Q9W088	DPOD2_DROME	reviewed	DNA polymerase delta small subunit (EC 2.7.7.7)	CG12018	Drosophila melanogaster (Fruit fly)	431
Q27607	DPOG1_DROME	reviewed	DNA polymerase subunit gamma-1, mitochondrial (EC 2.7.7.7) (Mitochondrial DNA polymerase catalytic subunit) (Protein tamas)	tam MtPolA Polg CG8987	Drosophila melanogaster (Fruit fly)	1145
P26019	DPOLA_DROME	reviewed	DNA polymerase alpha catalytic subunit (EC 2.7.7.7)	DNApol-alpha180 DNApol-alpha POLA CG6349	Drosophila melanogaster (Fruit fly)	1488
O18475	DPOLQ_DROME	reviewed	DNA polymerase theta (EC 2.7.7.7) (Mutagen-sensitive protein 308)	mus308 CG6019	Drosophila melanogaster (Fruit fly)	2059
Q9VHR8	DPP3_DROME	reviewed	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III)	DppIII CG7415	Drosophila melanogaster (Fruit fly)	786
Q9VWR8	DPY19_DROME	reviewed	C-mannosyltransferase dpy-19 homolog (EC 2.4.1.-)	CG6659	Drosophila melanogaster (Fruit fly)	872
Q9VKQ9	DPY30_DROME	reviewed	Protein dpy-30 homolog (Dpy-30-like protein 1)	Dpy-30L1 CG6444	Drosophila melanogaster (Fruit fly)	134
Q9W3J8	DRC1_DROME	reviewed	Dynein regulatory complex protein 1 homolog	CG10958	Drosophila melanogaster (Fruit fly)	743
Q4V516	DRC7_DROME	reviewed	Coiled-coil domain-containing protein lobo (Lost boys protein)	lobo CG13662	Drosophila melanogaster (Fruit fly)	897
Q8IS44	DRD2L_DROME	reviewed	Dopamine D2-like receptor (DD2R)	D2R CG17004	Drosophila melanogaster (Fruit fly)	506
Q9V3Y2	DRE2_DROME	reviewed	Anamorsin homolog (Fe-S cluster assembly protein DRE2 homolog)	CIAPIN1 l(2)35Bg CG4180	Drosophila melanogaster (Fruit fly)	248
O01382	DRICE_DROME	reviewed	Caspase (EC 3.4.22.-) (drICE) [Cleaved into: Caspase subunit p21; Caspase subunit p12]	Drice ICE CG7788	Drosophila melanogaster (Fruit fly)	339
Q24573	DRI_DROME	reviewed	Protein dead ringer (Protein retained)	retn dri CG5403	Drosophila melanogaster (Fruit fly)	911
Q08012	DRK_DROME	reviewed	Protein enhancer of sevenless 2B (Protein E(sev)2B) (Downstream of receptor kinase) (SH2-SH3 adapter protein drk)	drk E(sev)2B CG6033	Drosophila melanogaster (Fruit fly)	211
Q9VQS6	DRM_DROME	reviewed	Protein drumstick	drm CG10016	Drosophila melanogaster (Fruit fly)	81
P36193	DROS_DROME	reviewed	Drosocin	Dro CG10816	Drosophila melanogaster (Fruit fly)	64
Q9VS29	DSCL_DROME	reviewed	Down syndrome cell adhesion molecule-like protein Dscam2	Dscam2 CG42256	Drosophila melanogaster (Fruit fly)	2074
P09040	DSK_DROME	reviewed	Drosulfakinins [Cleaved into: Drosulfakinin-0 (DSK-0); Drosulfakinin-1 (Drosulfakinin I) (DSK-I); Drosulfakinin-2 (Drosulfakinin II) (DSK-II)]	Dsk CG18090	Drosophila melanogaster (Fruit fly)	141
P51140	DSH_DROME	reviewed	Segment polarity protein dishevelled	dsh CG18361	Drosophila melanogaster (Fruit fly)	623
Q24324	DSOR1_DROME	reviewed	Dual specificity mitogen-activated protein kinase kinase dSOR1 (Downstream of RAF) (MAPKK) (EC 2.7.12.2)	Dsor1 CG15793	Drosophila melanogaster (Fruit fly)	396
P23023	DSX_DROME	reviewed	Protein doublesex	dsx CG11094	Drosophila melanogaster (Fruit fly)	549
Q24292	DS_DROME	reviewed	Protein dachsous (Adherin)	ds CG17941	Drosophila melanogaster (Fruit fly)	3503
Q9VVT5	DTBP1_DROME	reviewed	Dysbindin protein homolog (Biogenesis of lysosome-related organelles complex 1 subunit 8) (BLOC-1 subunit 8)	dysb CG6856	Drosophila melanogaster (Fruit fly)	288
Q23985	DTX_DROME	reviewed	Protein deltex (Probable E3 ubiquitin-protein ligase deltex) (EC 6.3.2.-)	dx CG3929	Drosophila melanogaster (Fruit fly)	738
Q9VQH2	DUOX_DROME	reviewed	Dual oxidase (EC 1.11.1.-) (EC 1.6.3.1)	Duox CG3131	Drosophila melanogaster (Fruit fly)	1537
Q9VVW5	DUSK3_DROME	reviewed	Dual specificity protein phosphatase Mpk3 (EC 3.1.3.16) (EC 3.1.3.48) (Drosophila MKP3) (DMKP3) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	Mkp3 CG14080	Drosophila melanogaster (Fruit fly)	411
Q27268	DX39B_DROME	reviewed	ATP-dependent RNA helicase WM6 (DEAD box protein UAP56) (Dmrnahel) (EC 3.6.4.13) (HEL/UAP56)	Hel25E Dbp25F hel WM6 CG7269	Drosophila melanogaster (Fruit fly)	424
Q9VXA8	DXO_DROME	reviewed	Decapping nuclease DXO homolog (EC 3.6.1.-) (Dom-3 homolog Z)	CG9125	Drosophila melanogaster (Fruit fly)	375
P37276	DYHC_DROME	reviewed	Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic) (DYHC)	Dhc64C cDhc CG7507	Drosophila melanogaster (Fruit fly)	4639
Q24246	DYIN_DROME	reviewed	Cytoplasmic dynein 1 intermediate chain (DH IC) (Dynein intermediate chain, cytosolic) (Protein short wing)	sw Cdic Dic19B CG18000	Drosophila melanogaster (Fruit fly)	663
Q24117	DYL1_DROME	reviewed	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (Cut up protein)	ctp Cdlc1 ddlc1 CG6998	Drosophila melanogaster (Fruit fly)	89
O96860	DYL2_DROME	reviewed	Dynein light chain 2, cytoplasmic (8 kDa dynein light chain)	Cdlc2 CG5450	Drosophila melanogaster (Fruit fly)	89
Q7KNA0	DYM_DROME	reviewed	Dymeclin	CG8230	Drosophila melanogaster (Fruit fly)	699
Q94524	DYLT_DROME	reviewed	Dynein light chain Tctex-type (TCTEX-1 protein homolog)	Dlc90F Tctex CG12363	Drosophila melanogaster (Fruit fly)	111
P27619	DYN_DROME	reviewed	Dynamin (EC 3.6.5.5) (Protein shibire) (dDyn)	shi CG18102	Drosophila melanogaster (Fruit fly)	877
Q9V3D5	DYRK2_DROME	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1) (Protein smell impaired at 35A) (dDyrk2)	smi35A Dyrk2 CG4551	Drosophila melanogaster (Fruit fly)	722
P83102	DYRK3_DROME	reviewed	Putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (EC 2.7.12.1)	Dyrk3 CG40478	Drosophila melanogaster (Fruit fly)	828
P17719	DYR_DROME	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	Dhfr CG14887	Drosophila melanogaster (Fruit fly)	182
Q9NIV1	E2AK3_DROME	reviewed	Eukaryotic translation initiation factor 2-alpha kinase (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (DmPEK) (PEK) (PERK)	PEK EIF2AK3 CG2087	Drosophila melanogaster (Fruit fly)	1162
O77051	E2F2_DROME	reviewed	Transcription factor E2F2 (dE2F2) (E2F transcription factor 2) (E2F-like transcription factor E2F2)	E2f2 CG1071	Drosophila melanogaster (Fruit fly)	370
Q27368	E2F_DROME	reviewed	Transcription factor E2f (dE2F)	E2f E2F1 CG6376	Drosophila melanogaster (Fruit fly)	805
P48593	E631_DROME	reviewed	Calcium-binding protein E63-1	Eip63F-1 E63-1 CG15855	Drosophila melanogaster (Fruit fly)	193
P11536	E74EB_DROME	reviewed	Ecdysone-induced protein 74EF isoform B (ETS-related protein E74B)	Eip74EF E74 CG32180	Drosophila melanogaster (Fruit fly)	883
P13055	E75BB_DROME	reviewed	Ecdysone-induced protein 75B, isoform B (E75-C) (Nuclear receptor subfamily 1 group D member 3, isoform B)	Eip75B NR1D3 CG8127	Drosophila melanogaster (Fruit fly)	1412
P17672	E75BA_DROME	reviewed	Ecdysone-induced protein 75B, isoform A (E75-B) (Nuclear receptor subfamily 1 group D member 3, isoform A)	Eip75B NR1D3 CG8127	Drosophila melanogaster (Fruit fly)	1355
P20105	E74EA_DROME	reviewed	Ecdysone-induced protein 74EF isoform A (ETS-related protein E74A)	Eip74EF E74 CG32180	Drosophila melanogaster (Fruit fly)	829
P45447	E78C_DROME	reviewed	Ecdysone-induced protein 78C (DR-78) (Nuclear receptor subfamily 1 group E member 1)	Eip78C NR1E1 CG18023	Drosophila melanogaster (Fruit fly)	862
P17671	E75BC_DROME	reviewed	Ecdysone-induced protein 75B, isoforms C/D (E75-A) (Nuclear receptor subfamily 1 group D member 3, isoforms C/D)	Eip75B NR1D3 CG8127	Drosophila melanogaster (Fruit fly)	1199
Q9Y0I1	EAF3_DROME	reviewed	NuA4 complex subunit EAF3 homolog (Protein MRG15)	MRG15 CG6363	Drosophila melanogaster (Fruit fly)	424
Q7JRJ1	EAF_DROME	reviewed	Ell-associated factor Eaf (dEaf)	Eaf CG11166	Drosophila melanogaster (Fruit fly)	504
P13582	EAST_DROME	reviewed	Serine protease easter (EC 3.4.21.-)	ea CG4920	Drosophila melanogaster (Fruit fly)	392
P54352	EAS_DROME	reviewed	Ethanolamine kinase (EK) (EC 2.7.1.82) (Protein easily shocked)	eas CG3525	Drosophila melanogaster (Fruit fly)	518
Q95RJ9	EBI_DROME	reviewed	F-box-like/WD repeat-containing protein ebi	ebi CG4063	Drosophila melanogaster (Fruit fly)	700
Q9V9Z9	EBP2_DROME	reviewed	Probable rRNA-processing protein EBP2 homolog	CG1542	Drosophila melanogaster (Fruit fly)	307
Q9W032	ECD_DROME	reviewed	Protein ecdysoneless	ecd CG5714	Drosophila melanogaster (Fruit fly)	684
